Name,Address,Phone,website,place_id,Search Position,query_coords,search_number
Hitchcock's Market,"113 S Main St, Trenton, FL 32693",(352) 463-1199,http://myhitchcocks.com/,ChIJCVedm-Hd6IgR5LCg2ic2XeU,1,"@29.50515,-83.24498,12z",0
Save A Lot,"110 Rodgers Blvd, Chiefland, FL 32626",(352) 490-5520,https://savealot.com/grocery-stores/chiefland-32626-24703?utm_source=google&utm_medium=organic&utm_campaign=gmb,ChIJwRZWDszj6IgRnrsFyiSvTrE,2,"@29.50515,-83.24498,12z",0
Winn-Dixie,"2202 N Young Blvd, Chiefland, FL 32626",(352) 493-0839,https://www.winndixie.com/,ChIJw6qRAyni6IgRb131m0BCONI,3,"@29.50515,-83.24498,12z",0
Gourmet Foods,"East Lake-Orient Park, FL 33619",,,ChIJsRE0HFvPwogRBa6pUgLrC68,4,"@29.50515,-83.24498,12z",0
Savvy Gourmet Shop,"Online only Store, Bradenton, FL 34207",(941) 756-2623,,ChIJVVVVVeEVw4gR2jp-CKJfWSc,5,"@29.50515,-83.24498,12z",0
Fort White Produce,"7748 US Hwy 27, Fort White, FL 32038",(352) 514-7472,https://www.facebook.com/profile.php?id=100086997125275&mibextid=ZbWKwL,ChIJLySST3zN6IgRx4PQB373hWA,6,"@29.50515,-83.24498,12z",0
Paradise International Food,"11309 Starkey Rd, Largo, FL 33773",(727) 873-3950,,ChIJq4dqAeL6wogRqcTFgceKftI,7,"@29.50515,-83.24498,12z",0
The Main Ingredient,"1903 Collier Pkwy, Lutz, FL 33549",(813) 388-6472,http://themainingredient.org/,ChIJu6wV5BG7wogRh4pttfz5Rpc,8,"@29.50515,-83.24498,12z",0
Trader Joe's,"131 Orlando Ave, Winter Park, FL 32789",(407) 622-0874,https://locations.traderjoes.com/fl/winter-park/765/?utm_source=gmb&utm_medium=organic&utm_campaign=local,ChIJ9x3SuW1w54gRIm5vfdDdcpw,9,"@29.50515,-83.24498,12z",0
Holiday's Market,"3446 Grand Blvd, Holiday, FL 34690",(727) 203-3820,https://www.facebook.com/holidaysproduce/,ChIJd1WXbfCRwogR_aZ0N9vB2i4,10,"@29.50515,-83.24498,12z",0
Gourmet Foods International Lakeland,"8000 FL-33, Lakeland, FL 33809",(863) 984-5656,https://www.gfifoods.com/,ChIJ50Dvso5B3YgRZb8XEoCXLGw,11,"@29.50515,-83.24498,12z",0
Joe and Son's Olive Oils Carrollwood,"11616 N Dale Mabry Hwy, Tampa, FL 33618",(813) 284-7489,http://www.joeandsonsoliveoils.com/,ChIJu023Kb3BwogRx6HuMvXZdZ8,12,"@29.50515,-83.24498,12z",0
YJ Store,"388 N Marion Ave, Lake City, FL 32055",(386) 487-5640,,ChIJUdVep3o574gRwpDMK-7ewbg,13,"@29.50515,-83.24498,12z",0
Whole Foods Market,"27001 US Hwy 19 N, Clearwater, FL 33761",(727) 724-7100,https://www.wholefoodsmarket.com/stores/clearwater?utm_source=google&utm_medium=organic&utm_campaign=listings,ChIJVbYOe__twogRRvEOd-oSXGE,14,"@29.50515,-83.24498,12z",0
La Boutique,"3201 Corrine Dr #205A, Orlando, FL 32803",(407) 571-9947,https://www.lafemmedufromage.com/laboutique,ChIJpZHuNFB754gROfzSgowpiwE,15,"@29.50515,-83.24498,12z",0
International Food Club,"4300 L B McLeod Rd, Orlando, FL 32811",(321) 281-4300,http://internationalfoodclub.com/,ChIJxX834ll554gRERsz3jgCFZc,16,"@29.50515,-83.24498,12z",0
REAL GOURMET FOOD ONLINE STORE,"2234 N Federal Hwy #1508, Boca Raton, FL 33431",(561) 299-0192,http://realgourmetfood.com/,ChIJu4cDJU_h2IgRQT-WS9uF2pw,17,"@29.50515,-83.24498,12z",0
International Food,"13201 Tamiami Trail, North Port, FL 34287",(941) 429-1239,,ChIJs0LPoYZUw4gRp7cciPJmxqk,18,"@29.50515,-83.24498,12z",0
